,Original ID,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,states
13,220,Marquette Golden Eagles,"Milwaukee, Wisconsin",1917,2020,103,2670,1651,1019,0.618,9.01,4.7,22,3,1,33,3,1,Wisconsin
14,235,Michigan State Spartans,"East Lansing, Michigan",1899,2020,121,2840,1739,1101,0.612,11.71,7.69,24,15,6,33,10,2,Michigan
15,302,Ohio State Buckeyes,"Columbus, Ohio",1899,2020,121,2917,1789,1128,0.613,11.77,7.4,22,22,5,33,11,1,Ohio
16,395,Temple Owls,"Philadelphia, Pennsylvania",1895,2020,124,3036,1940,1096,0.639,6.42,2.6,9,20,10,33,2,0,Pennsylvania
17,16,Arkansas Razorbacks,"Fayetteville, Arkansas",1924,2020,97,2675,1708,967,0.639,7.52,3.09,16,26,7,32,6,1,Arkansas
18,92,Connecticut Huskies,"Storrs, Connecticut",1901,2020,114,2644,1675,969,0.634,6.39,0.96,16,27,8,32,5,4,Connecticut
19,305,Oklahoma Sooners,"Norman, Oklahoma",1908,2020,113,2799,1704,1095,0.609,9.59,6.46,19,14,7,32,5,0,Oklahoma
20,187,Kansas State Wildcats,"Manhattan, Kansas",1906,2020,115,2843,1668,1175,0.587,10.35,6.29,16,19,2,31,4,0,Kansas
21,326,Purdue Boilermakers,"West Lafayette, Indiana",1897,2020,122,2872,1837,1035,0.64,11.83,7.64,22,24,1,31,2,0,Indiana
22,140,Georgetown Hoyas,"Washington, D.C.",1907,2020,112,2757,1687,1070,0.612,6.76,3.87,20,11,7,30,5,1,D.C.
23,169,Illinois Fighting Illini,"Champaign, Illinois",1906,2020,115,2833,1809,1024,0.639,12.8,7.68,26,17,2,30,5,0,Illinois
24,384,St. John's (NY) Red Storm,"Queens, New York",1908,2020,113,2962,1917,1045,0.647,8.43,5.03,15,14,3,30,2,0,New York
25,42,Brigham Young Cougars,"Provo, Utah",1903,2020,118,2956,1853,1103,0.627,7.69,3.58,10,25,3,29,0,0,Utah
26,236,Michigan Wolverines,"Ann Arbor, Michigan",1918,2020,103,2686,1635,1051,0.609,10.8,7.74,22,14,3,29,8,1,Michigan
27,428,Utah Utes,"Salt Lake City, Utah",1909,2020,112,2854,1835,1019,0.643,8.14,3.64,21,30,5,29,4,1,Utah
28,454,West Virginia Mountaineers,"Morgantown, West Virginia",1904,2020,111,2902,1792,1110,0.618,7.22,2.63,17,16,13,29,2,0,West Virginia
29,222,Maryland Terrapins,"College Park, Maryland",1924,2020,97,2629,1587,1042,0.604,10.06,5.3,23,6,4,28,2,1,Maryland
30,306,Oklahoma State Cowboys,"Stillwater, Oklahoma",1908,2020,111,2869,1678,1191,0.585,8.7,5.77,18,19,4,28,6,2,Oklahoma
31,478,Xavier Musketeers,"Cincinnati, Ohio",1920,2020,99,2527,1509,1018,0.597,5.68,3.72,12,18,9,28,0,0,Ohio
32,247,Missouri Tigers,"Columbia, Missouri",1907,2020,114,2837,1655,1182,0.583,8.75,6.07,14,15,8,27,0,0,Missouri
33,278,North Carolina State Wolfpack,"Raleigh, North Carolina",1913,2020,108,2837,1757,1080,0.619,10.98,5.9,17,13,17,27,3,2,North Carolina
34,177,Iowa Hawkeyes,"Iowa City, Iowa",1893,2020,123,2858,1673,1184,0.586,11.19,7.37,18,8,2,26,3,0,Iowa
35,318,Pittsburgh Panthers,"Pittsburgh, Pennsylvania",1906,2020,113,2819,1631,1188,0.579,5.2,4.15,13,11,4,26,1,0,Pennsylvania
36,229,Memphis Tigers,"Memphis, Tennessee",1956,2020,65,1976,1319,657,0.668,8.66,3.63,16,18,11,25,3,0,Tennessee
